,STPK,Mutant,DEG,Fold-change (log2),p-value,Induced/ Repressed
927,PknE,LOF,Rv2620c,-3.5382,5.12e-22,Repressed
928,PknE,LOF,Rv0753c,-3.5344,2.05e-32,Repressed
929,PknE,LOF,Rv3463,-3.5137,3.26e-11,Repressed
930,PknE,LOF,Rv2035,-3.3947,1.63e-23,Repressed
931,PknE,LOF,Rv1130,-3.3399,6.45e-09,Repressed
932,PknE,LOF,Rv2034,-3.3322,1.7e-24,Repressed
933,PknE,LOF,Rv3252c,-3.2895,2.1e-13,Repressed
934,PknE,LOF,Rv2661c,-3.2405,8.76e-25,Repressed
935,PknE,LOF,Rv2660c,-3.2086,1.99e-29,Repressed
936,PknE,LOF,Rv2662,-3.1686,6.17e-15,Repressed
937,PknE,LOF,Rv0384c,-3.1139,2.72e-22,Repressed
938,PknE,LOF,Rv2011c,-3.0722,1.85e-20,Repressed
939,PknE,LOF,Rv2913c,-2.9754,2.36e-24,Repressed
940,PknE,LOF,Rv0975c,-2.9543,1.42e-07,Repressed
941,PknE,LOF,Rv1131,-2.9393,9.65e-07,Repressed
942,PknE,LOF,Rv2052c,-2.9013,2.65e-17,Repressed
943,PknE,LOF,Rv0767c,-2.8666,1.99e-17,Repressed
944,PknE,LOF,Rv1048c,-2.8611,4.01e-16,Repressed
945,PknE,LOF,Rv3571,-2.8461,7.51e-18,Repressed
946,PknE,LOF,Rv3516,-2.8153,4.62e-10,Repressed
947,PknE,LOF,Rv1801,-2.8107,6.2e-14,Repressed
948,PknE,LOF,Rv1875,-2.778,3.06e-16,Repressed
949,PknE,LOF,Rv0791c,-2.769,7.79e-18,Repressed
950,PknE,LOF,Rv0094c,-2.7598,5.08e-11,Repressed
951,PknE,LOF,Rv3467,-2.7598,5.11e-11,Repressed
952,PknE,LOF,Rv1471,-2.755,2.37e-16,Repressed
953,PknE,LOF,Rv3251c,-2.7267,1e-12,Repressed
954,PknE,LOF,Rv0140,-2.7147,3.49e-20,Repressed
955,PknE,LOF,Rv3526,-2.7066,1.27e-23,Repressed
956,PknE,LOF,Rv2743c,-2.7062,1.78e-16,Repressed
957,PknE,LOF,Rv1219c,-2.6269,3.87e-08,Repressed
958,PknE,LOF,Rv0976c,-2.6067,6.19e-08,Repressed
959,PknE,LOF,Rv0793,-2.5915,7.37e-06,Repressed
960,PknE,LOF,Rv0766c,-2.5737,2.47e-19,Repressed
961,PknE,LOF,Rv0973c,-2.5308,1.74e-07,Repressed
962,PknE,LOF,Rv2036,-2.5215,3.89e-14,Repressed
963,PknE,LOF,Rv3223c,-2.5201,2.86e-17,Repressed
964,PknE,LOF,Rv1586c,-2.5163,7.78e-16,Repressed
965,PknE,LOF,Rv3530c,-2.4754,1.38e-10,Repressed
966,PknE,LOF,Rv1587c,-2.4421,1.35e-16,Repressed
967,PknE,LOF,Rv3570c,-2.409,6.86e-19,Repressed
968,PknE,LOF,Rv0940c,-2.4049,2.15e-13,Repressed
969,PknE,LOF,Rv1168c,-2.3999,5.52e-16,Repressed
970,PknE,LOF,Rv3094c,-2.3949,1.54e-09,Repressed
971,PknE,LOF,Rv2744c,-2.3936,2.32e-15,Repressed
972,PknE,LOF,Rv2012,-2.3885,1.01e-09,Repressed
973,PknE,LOF,Rv3167c,-2.3874,3.24e-06,Repressed
974,PknE,LOF,Rv0972c,-2.3848,4.15e-10,Repressed
975,PknE,LOF,Rv2745c,-2.3796,8.9e-17,Repressed
976,PknE,LOF,Rv0687,-2.3747,4.7e-15,Repressed
977,PknE,LOF,Rv0302,-2.3578,3.06e-12,Repressed
978,PknE,LOF,Rv2642,-2.3491,6.2e-09,Repressed
979,PknE,LOF,Rv2619c,-2.3457,2.86e-10,Repressed
980,PknE,LOF,Rv1895,-2.3357,1.02e-14,Repressed
981,PknE,LOF,Rv3531c,-2.319,2.52e-14,Repressed
982,PknE,LOF,Rv0754,-2.3147,5.12e-14,Repressed
983,PknE,LOF,Rv3334,-2.3043,4.04e-12,Repressed
984,PknE,LOF,Rv0232,-2.2967,8.29e-16,Repressed
985,PknE,LOF,Rv1395,-2.2753,2.13e-10,Repressed
986,PknE,LOF,Rv1221,-2.2699,3.55e-13,Repressed
987,PknE,LOF,Rv0331,-2.2569,1.94e-08,Repressed
988,PknE,LOF,Rv0303,-2.248,9.94e-10,Repressed
989,PknE,LOF,Rv1578c,-2.2415,9.06e-11,Repressed
990,PknE,LOF,Rv2025c,-2.2095,1.39e-12,Repressed
991,PknE,LOF,Rv3406,-2.1949,3.39e-11,Repressed
992,PknE,LOF,Rv1674c,-2.1864,0.004380813,Repressed
993,PknE,LOF,Rv0974c,-2.1827,2.91e-07,Repressed
994,PknE,LOF,Rv1169c,-2.1735,9.41e-11,Repressed
995,PknE,LOF,Rv2617c,-2.168,5.94e-10,Repressed
996,PknE,LOF,Rv0921,-2.1619,4.52e-08,Repressed
997,PknE,LOF,Rv2399c,-2.1444,3.93e-12,Repressed
998,PknE,LOF,Rv2465c,-2.1216,1.43e-07,Repressed
999,PknE,LOF,Rv1804c,-2.1053,2.86e-05,Repressed
1000,PknE,LOF,Rv1256c,-2.0908,1.79e-11,Repressed
1001,PknE,LOF,Rv0847,-2.0907,8.39e-12,Repressed
1002,PknE,LOF,Rv3161c,-2.0884,1.59e-16,Repressed
1003,PknE,LOF,Rv2618,-2.0875,1.11e-08,Repressed
1004,PknE,LOF,Rv2517c,-2.0785,4.94e-11,Repressed
1005,PknE,LOF,Rv3855,-2.0746,2.9e-11,Repressed
1006,PknE,LOF,Rv0329c,-2.067,7.02e-06,Repressed
1007,PknE,LOF,Rv2504c,-2.061,1.72e-11,Repressed
1008,PknE,LOF,Rv2016,-2.0555,1.5e-05,Repressed
1009,PknE,LOF,Rv2010,-2.0549,2.24e-10,Repressed
1010,PknE,LOF,Rv1774,-2.0141,4.91e-07,Repressed
1011,PknE,LOF,Rv3418c,-2.0066,6.99e-11,Repressed
1012,PknE,LOF,Rv1733c,2.0237,1.02e-22,Induced
1013,PknE,LOF,Rv3128c,2.1377,5.97e-23,Induced
1014,PknE,LOF,Rv1739c,2.1669,1.33e-17,Induced
1015,PknE,LOF,Rv3616c,2.3254,9.59e-18,Induced
1016,PknE,LOF,Rv3371,2.3281,5.9e-25,Induced
1017,PknE,LOF,Rv0805,2.3396,4.32e-24,Induced
1018,PknE,LOF,Rv0806c,2.3497,3.37e-18,Induced
1019,PknE,LOF,Rv1999c,2.4249,1.04e-13,Induced
1020,PknE,LOF,Rv3611,2.4625,1.59e-15,Induced
1021,PknE,LOF,Rv3686c,2.5243,1.15e-13,Induced
1022,PknE,LOF,Rv0569,2.6501,3.4e-36,Induced
1023,PknE,LOF,Rv2329c,2.655,1.72e-24,Induced
1024,PknE,LOF,Rv1791,2.6696,1.28e-11,Induced
1025,PknE,LOF,Rv1542c,2.818,4.62e-15,Induced
1026,PknE,LOF,Rv0570,2.8492,7.33e-46,Induced
1027,PknE,LOF,Rv0572c,2.9299,9.25e-21,Induced
1028,PknE,LOF,Rv1998c,2.9469,6.72e-15,Induced
1029,PknE,LOF,Rv3615c,3.0064,5.46e-13,Induced
1030,PknE,LOF,Rv1195,3.1074,2.92e-20,Induced
1031,PknE,LOF,Rv1745c,3.3585,3.21e-26,Induced
1032,PknE,LOF,Rv2781c,3.5125,1.35e-48,Induced
1033,PknE,LOF,Rv2780,3.5257,1.28e-42,Induced
1034,PknE,LOF,Rv1742,3.5663,2.81e-30,Induced
1035,PknE,LOF,Rv3614c,3.8407,7.1e-15,Induced
1036,PknE,LOF,Rv3612c,3.9111,6.33e-18,Induced
1037,PknE,LOF,Rv3613c,3.98,9.91e-14,Induced
1038,PknE,LOF,Rv1744c,4.1396,3.58e-34,Induced
1039,PknF,OE,Rv0837c,-4.4665,2.76e-65,Repressed
1040,PknF,OE,Rv0792c,-4.4277,2.02e-78,Repressed
1041,PknF,OE,Rv0754,-4.208,3e-70,Repressed
1042,PknF,OE,Rv1169c,-4.0772,1.36e-61,Repressed
1043,PknF,OE,Rv2466c,-3.9937,2.79e-66,Repressed
1044,PknF,OE,Rv2913c,-3.9348,5.04e-71,Repressed
1045,PknF,OE,Rv0791c,-3.8276,1.09e-82,Repressed
1046,PknF,OE,Rv0768,-3.7815,3.02e-77,Repressed
1047,PknF,OE,Rv0753c,-3.7261,6.51e-52,Repressed
1048,PknF,OE,Rv1801,-3.6989,9.93e-70,Repressed
1049,PknF,OE,Rv0765c,-3.593,1.66e-73,Repressed
1050,PknF,OE,Rv0251c,-3.5783,2.21e-45,Repressed
1051,PknF,OE,Rv0767c,-3.5284,3.8e-48,Repressed
1052,PknF,OE,Rv2621c,-3.5143,6.97e-63,Repressed
1053,PknF,OE,Rv0766c,-3.495,1.2e-72,Repressed
1054,PknF,OE,Rv2745c,-3.4391,1.97e-44,Repressed
1055,PknF,OE,Rv3536c,-3.4359,8.43e-51,Repressed
1056,PknF,OE,Rv0834c,-3.3221,5.46e-28,Repressed
1057,PknF,OE,Rv0654,-3.2928,1.86e-43,Repressed
1058,PknF,OE,Rv1219c,-3.2899,8.17e-71,Repressed
1059,PknF,OE,Rv0678,-3.2791,6.61e-43,Repressed
1060,PknF,OE,Rv1586c,-3.2618,2.22e-45,Repressed
1061,PknF,OE,Rv1405c,-3.26,1.09e-40,Repressed
1062,PknF,OE,Rv1471,-3.1885,4.26e-53,Repressed
1063,PknF,OE,Rv0991c,-3.1447,5.09e-39,Repressed
1064,PknF,OE,Rv3531c,-3.1411,9.28e-51,Repressed
1065,PknF,OE,Rv0232,-3.1297,2.73e-36,Repressed
1066,PknF,OE,Rv1168c,-3.0763,9.7e-47,Repressed
1067,PknF,OE,Rv1895,-3.0659,1.26e-55,Repressed
1068,PknF,OE,Rv0976c,-3.0488,1.16e-33,Repressed
1069,PknF,OE,Rv1996,-3.027,2.29e-23,Repressed
1070,PknF,OE,Rv1587c,-3.0117,2.95e-50,Repressed
1071,PknF,OE,Rv2744c,-3.0016,1.68e-33,Repressed
1072,PknF,OE,Rv2743c,-3.0015,2.25e-32,Repressed
1073,PknF,OE,Rv2620c,-2.9884,2.18e-47,Repressed
1074,PknF,OE,Rv2035,-2.9769,6.94e-43,Repressed
1075,PknF,OE,Rv3535c,-2.9672,4.57e-38,Repressed
1076,PknF,OE,Rv0140,-2.9587,3.41e-48,Repressed
1077,PknF,OE,Rv1804c,-2.9477,2.66e-25,Repressed
1078,PknF,OE,Rv0764c,-2.9164,9.63e-62,Repressed
1079,PknF,OE,Rv3167c,-2.9089,1.78e-30,Repressed
1080,PknF,OE,Rv3406,-2.9073,5.1e-47,Repressed
1081,PknF,OE,Rv0575c,-2.9037,9.28e-40,Repressed
1082,PknF,OE,Rv2036,-2.8803,1.3e-45,Repressed
1083,PknF,OE,Rv2694c,-2.8783,1.49e-49,Repressed
1084,PknF,OE,Rv0233,-2.8655,3.59e-30,Repressed
1085,PknF,OE,Rv0384c,-2.8584,1.35e-42,Repressed
1086,PknF,OE,Rv0975c,-2.853,9.64e-33,Repressed
1087,PknF,OE,Rv3530c,-2.8229,1.03e-48,Repressed
1088,PknF,OE,Rv1218c,-2.8099,7.52e-62,Repressed
1089,PknF,OE,Rv3571,-2.7932,1.38e-43,Repressed
1090,PknF,OE,Rv0064,-2.7849,5.13e-27,Repressed
1091,PknF,OE,Rv0064A,-2.7738,1.63e-24,Repressed
1092,PknF,OE,Rv0679c,-2.7286,1.28e-26,Repressed
1093,PknF,OE,Rv3545c,-2.7281,7.27e-40,Repressed
1094,PknF,OE,Rv3534c,-2.711,4.01e-39,Repressed
1095,PknF,OE,Rv2484c,-2.6929,8.24e-44,Repressed
1096,PknF,OE,Rv2025c,-2.6534,4.17e-26,Repressed
1097,PknF,OE,Rv0942,-2.6387,3.79e-25,Repressed
1098,PknF,OE,Rv0941c,-2.636,1.32e-29,Repressed
1099,PknF,OE,Rv0677c,-2.6274,5e-37,Repressed
1100,PknF,OE,Rv3289c,-2.6188,1.91e-11,Repressed
1101,PknF,OE,Rv3252c,-2.5933,1.21e-28,Repressed
1102,PknF,OE,Rv3463,-2.5653,9.4e-36,Repressed
1103,PknF,OE,Rv3290c,-2.5644,1e-17,Repressed
1104,PknF,OE,Rv2501c,-2.5627,8.84e-29,Repressed
1105,PknF,OE,Rv3746c,-2.5364,8.31e-34,Repressed
1106,PknF,OE,Rv0983,-2.4976,1.72e-32,Repressed
1107,PknF,OE,Rv1894c,-2.4529,9.5e-35,Repressed
1108,PknF,OE,Rv0762c,-2.4484,8.23e-33,Repressed
1109,PknF,OE,Rv0790c,-2.4472,2.22e-51,Repressed
1110,PknF,OE,Rv1221,-2.4297,5.37e-27,Repressed
1111,PknF,OE,Rv0793,-2.4073,8.99e-19,Repressed
1112,PknF,OE,Rv3546,-2.3982,7.19e-33,Repressed
1113,PknF,OE,Rv3223c,-2.3964,4.2e-37,Repressed
1114,PknF,OE,Rv3502c,-2.38,4.33e-28,Repressed
1115,PknF,OE,Rv2662,-2.3551,6.41e-25,Repressed
1116,PknF,OE,Rv0195,-2.3483,4.01e-21,Repressed
1117,PknF,OE,Rv0670,-2.3475,2.36e-26,Repressed
1118,PknF,OE,Rv0836c,-2.347,3.06e-24,Repressed
1119,PknF,OE,Rv2661c,-2.3407,8.16e-30,Repressed
1120,PknF,OE,Rv0687,-2.3353,1.39e-28,Repressed
1121,PknF,OE,Rv2323c,-2.317,1.18e-29,Repressed
1122,PknF,OE,Rv3054c,-2.3157,4.14e-22,Repressed
1123,PknF,OE,Rv0094c,-2.2991,2.96e-29,Repressed
1124,PknF,OE,Rv0872c,-2.2975,9.53e-23,Repressed
1125,PknF,OE,Rv3467,-2.293,2.61e-29,Repressed
1126,PknF,OE,Rv0747,-2.2861,4.81e-20,Repressed
1127,PknF,OE,Rv0376c,-2.2808,9.78e-22,Repressed
1128,PknF,OE,Rv0982,-2.2777,2.05e-24,Repressed
1129,PknF,OE,Rv0940c,-2.2562,7.11e-29,Repressed
1130,PknF,OE,Rv2053c,-2.241,5.88e-34,Repressed
1131,PknF,OE,Rv1585c,-2.2372,1.56e-29,Repressed
1132,PknF,OE,Rv0874c,-2.2139,2.28e-24,Repressed
1133,PknF,OE,Rv1725c,-2.2105,1.28e-22,Repressed
1134,PknF,OE,Rv0628c,-2.2034,1.87e-25,Repressed
1135,PknF,OE,Rv3080c,-2.2013,3.32e-25,Repressed
1136,PknF,OE,Rv2693c,-2.1999,1.9e-33,Repressed
1137,PknF,OE,Rv0973c,-2.1995,1.93e-28,Repressed
1138,PknF,OE,Rv2912c,-2.1902,7.01e-38,Repressed
1139,PknF,OE,Rv0984,-2.188,3.57e-29,Repressed
1140,PknF,OE,Rv3503c,-2.1743,5.14e-10,Repressed
1141,PknF,OE,Rv2660c,-2.1574,6.97e-22,Repressed
1142,PknF,OE,Rv0313,-2.1542,1.18e-22,Repressed
1143,PknF,OE,Rv3515c,-2.1355,1.63e-33,Repressed
1144,PknF,OE,Rv0275c,-2.1354,2.37e-20,Repressed
1145,PknF,OE,Rv3087,-2.1241,4.62e-22,Repressed
1146,PknF,OE,Rv0769,-2.1128,1.93e-25,Repressed
1147,PknF,OE,Rv2730,-2.1092,7.02e-16,Repressed
1148,PknF,OE,Rv0877,-2.0947,1.67e-28,Repressed
1149,PknF,OE,Rv3347c,-2.0929,1.52e-36,Repressed
1150,PknF,OE,Rv3833,-2.091,8.95e-25,Repressed
1151,PknF,OE,Rv3516,-2.0867,2.11e-24,Repressed
1152,PknF,OE,Rv2558,-2.0842,1.51e-17,Repressed
1153,PknF,OE,Rv0676c,-2.0787,4.67e-23,Repressed
1154,PknF,OE,Rv2622,-2.0756,2.45e-26,Repressed
1155,PknF,OE,Rv0411c,-2.0755,2.24e-19,Repressed
1156,PknF,OE,Rv0563,-2.0617,3.16e-29,Repressed
1157,PknF,OE,Rv3574,-2.0597,2.7e-24,Repressed
1158,PknF,OE,Rv0752c,-2.0417,5.02e-30,Repressed
1159,PknF,OE,Rv2570,-2.0316,9.5e-18,Repressed
1160,PknF,OE,Rv2052c,-2.0314,7.17e-25,Repressed
1161,PknF,OE,Rv0763c,-2.0304,3.4e-16,Repressed
1162,PknF,OE,Rv2399c,-2.0249,1.14e-29,Repressed
1163,PknF,OE,Rv2483c,-2.0133,7.7e-34,Repressed
1164,PknF,OE,Rv3153,2.0133,1.08e-13,Induced
1165,PknF,OE,Rv1473A,2.0273,1.17e-07,Induced
1166,PknF,OE,Rv2253,2.0301,2.51e-09,Induced
1167,PknF,OE,Rv0222,2.0346,3.76e-12,Induced
1168,PknF,OE,Rv0512,2.0363,1.54e-22,Induced
1169,PknF,OE,Rv2940c,2.0376,5.84e-17,Induced
1170,PknF,OE,Rv2937,2.0401,2.09e-13,Induced
1171,PknF,OE,Rv2123,2.0403,3.68e-16,Induced
1172,PknF,OE,Rv2737c,2.0403,4.16e-26,Induced
1173,PknF,OE,Rv1181,2.0413,1.89e-21,Induced
1174,PknF,OE,Rv1426c,2.0417,1.44e-14,Induced
1175,PknF,OE,Rv0074,2.0451,1.37e-15,Induced
1176,PknF,OE,Rv0646c,2.0451,1.09e-16,Induced
1177,PknF,OE,Rv0605,2.0576,3.38e-17,Induced
1178,PknF,OE,Rv2010,2.0609,1.14e-15,Induced
1179,PknF,OE,Rv2048c,2.0616,3.18e-16,Induced
1180,PknF,OE,Rv3918c,2.0803,3.38e-21,Induced
1181,PknF,OE,Rv3363c,2.082,1.82e-09,Induced
1182,PknF,OE,Rv3804c,2.102,1.24e-16,Induced
1183,PknF,OE,Rv3361c,2.108,1.89e-10,Induced
1184,PknF,OE,Rv2107,2.1089,1.82e-06,Induced
1185,PknF,OE,Rv2054,2.1128,1.96e-15,Induced
1186,PknF,OE,Rv2945c,2.1139,4.61e-07,Induced
1187,PknF,OE,Rv2055c,2.1188,1.75e-11,Induced
1188,PknF,OE,Rv2942,2.1228,8.65e-23,Induced
1189,PknF,OE,Rv1108c,2.1256,6.8e-23,Induced
1190,PknF,OE,Rv2013,2.1281,8.52e-08,Induced
1191,PknF,OE,Rv1475c,2.1283,5.96e-25,Induced
1192,PknF,OE,Rv3196,2.1296,1.43e-17,Induced
1193,PknF,OE,Rv0637,2.134,1.48e-13,Induced
1194,PknF,OE,Rv0907,2.1362,2.06e-18,Induced
1195,PknF,OE,Rv3921c,2.137,5.61e-16,Induced
1196,PknF,OE,Rv1701,2.1381,1.56e-15,Induced
1197,PknF,OE,Rv1883c,2.1479,1.23e-21,Induced
1198,PknF,OE,Rv1025,2.1511,2.83e-12,Induced
1199,PknF,OE,Rv0342,2.1515,2.65e-23,Induced
1200,PknF,OE,Rv0718,2.1575,3.57e-16,Induced
1201,PknF,OE,Rv0264c,2.1589,4.67e-13,Induced
1202,PknF,OE,Rv0703,2.1591,1.51e-09,Induced
1203,PknF,OE,Rv1196,2.1621,2.56e-21,Induced
1204,PknF,OE,Rv3613c,2.1669,2.84e-14,Induced
1205,PknF,OE,Rv2425c,2.1758,2.82e-18,Induced
1206,PknF,OE,Rv3484,2.1768,3.23e-17,Induced
1207,PknF,OE,Rv1614,2.1785,3.23e-15,Induced
1208,PknF,OE,Rv0933,2.1799,4.42e-16,Induced
1209,PknF,OE,Rv3197A,2.182,2.6e-25,Induced
1210,PknF,OE,Rv2377c,2.1846,1.25e-05,Induced
1211,PknF,OE,Rv2440c,2.1868,2.18e-20,Induced
1212,PknF,OE,Rv0073,2.1915,7.6e-19,Induced
1213,PknF,OE,Rv1098c,2.1977,3.51e-16,Induced
1214,PknF,OE,Rv1698,2.1982,1.25e-16,Induced
1215,PknF,OE,Rv0170,2.2004,3.89e-14,Induced
1216,PknF,OE,Rv1107c,2.2028,1.39e-14,Induced
1217,PknF,OE,Rv2954c,2.2141,3.91e-17,Induced
1218,PknF,OE,Rv2273,2.2151,2.37e-05,Induced
1219,PknF,OE,Rv1713,2.2215,6.45e-19,Induced
1220,PknF,OE,Rv3031,2.2215,3.71e-17,Induced
1221,PknF,OE,Rv0280,2.2308,7.54e-21,Induced
1222,PknF,OE,Rv0723,2.2351,1.88e-16,Induced
1223,PknF,OE,Rv1241,2.2359,5.91e-09,Induced
1224,PknF,OE,Rv3797,2.2365,1.86e-16,Induced
1225,PknF,OE,Rv1386,2.2367,2.45e-20,Induced
1226,PknF,OE,Rv2258c,2.2369,5.39e-17,Induced
1227,PknF,OE,Rv0696,2.2433,9.44e-17,Induced
1228,PknF,OE,Rv2939,2.2434,5.75e-17,Induced
1229,PknF,OE,Rv2790c,2.2454,1.79e-21,Induced
1230,PknF,OE,Rv1563c,2.2461,2.64e-16,Induced
1231,PknF,OE,Rv0283,2.2495,6.31e-22,Induced
1232,PknF,OE,Rv0169,2.2605,2.42e-10,Induced
1233,PknF,OE,Rv1882c,2.2617,1.79e-23,Induced
1234,PknF,OE,Rv0908,2.2619,1.12e-22,Induced
1235,PknF,OE,Rv2385,2.2649,9.89e-14,Induced
1236,PknF,OE,Rv2736c,2.2744,9.19e-18,Induced
1237,PknF,OE,Rv1573,2.2762,5.41e-06,Induced
1238,PknF,OE,Rv3686c,2.2792,9.78e-19,Induced
1239,PknF,OE,Rv0722,2.2923,5.57e-18,Induced
1240,PknF,OE,Rv3714c,2.3013,8.19e-18,Induced
1241,PknF,OE,Rv2938,2.309,4.82e-18,Induced
1242,PknF,OE,Rv2057c,2.3219,8.24e-09,Induced
1243,PknF,OE,Rv1388,2.3341,1.84e-22,Induced
1244,PknF,OE,Rv0822c,2.3364,1.31e-23,Induced
1245,PknF,OE,Rv1437,2.3431,1.35e-24,Induced
1246,PknF,OE,Rv0936,2.3489,8.96e-16,Induced
1247,PknF,OE,Rv2383c,2.3496,1.34e-29,Induced
1248,PknF,OE,Rv2375,2.3505,5.6e-21,Induced
1249,PknF,OE,Rv0173,2.3521,4.33e-09,Induced
1250,PknF,OE,Rv3000,2.3543,2.61e-13,Induced
1251,PknF,OE,Rv3612c,2.3551,5.53e-18,Induced
1252,PknF,OE,Rv0085,2.3586,5.46e-23,Induced
1253,PknF,OE,Rv2932,2.3739,9.09e-12,Induced
1254,PknF,OE,Rv3362c,2.388,2.22e-12,Induced
1255,PknF,OE,Rv2334,2.3993,5.39e-24,Induced
1256,PknF,OE,Rv3155,2.4058,5.71e-09,Induced
1257,PknF,OE,Rv3860,2.4281,1.02e-31,Induced
1258,PknF,OE,Rv2009,2.4346,6.98e-21,Induced
1259,PknF,OE,Rv3805c,2.4372,5.52e-21,Induced
1260,PknF,OE,Rv0720,2.4399,2.91e-22,Induced
1261,PknF,OE,Rv3486,2.4399,2.81e-18,Induced
1262,PknF,OE,Rv0704,2.4401,4.24e-19,Induced
1263,PknF,OE,Rv2986c,2.4477,1.76e-22,Induced
1264,PknF,OE,Rv0172,2.4799,3.07e-11,Induced
1265,PknF,OE,Rv2952,2.485,2.04e-13,Induced
1266,PknF,OE,Rv0668,2.487,8.41e-23,Induced
1267,PknF,OE,Rv0284,2.4919,4.22e-25,Induced
1268,PknF,OE,Rv3149,2.4923,8.57e-23,Induced
1269,PknF,OE,Rv0850,2.5036,3.83e-13,Induced
1270,PknF,OE,Rv0647c,2.5039,1.91e-24,Induced
1271,PknF,OE,Rv2990c,2.5048,6.35e-38,Induced
1272,PknF,OE,Rv0106,2.5065,5.99e-24,Induced
1273,PknF,OE,Rv3487c,2.5099,2.04e-19,Induced
1274,PknF,OE,Rv3157,2.5103,1.41e-18,Induced
1275,PknF,OE,Rv0184,2.5105,3.79e-28,Induced
1276,PknF,OE,Rv2591,2.5134,3.64e-32,Induced
1277,PknF,OE,Rv2720,2.5143,7.71e-28,Induced
1278,PknF,OE,Rv3806c,2.5184,1.29e-21,Induced
1279,PknF,OE,Rv2335,2.5292,2.68e-23,Induced
1280,PknF,OE,Rv2640c,2.5392,3.61e-19,Induced
1281,PknF,OE,Rv2381c,2.5441,8.61e-12,Induced
1282,PknF,OE,Rv3030,2.5442,6.39e-15,Induced
1283,PknF,OE,Rv0263c,2.5519,8.16e-10,Induced
1284,PknF,OE,Rv2257c,2.5653,7.59e-17,Induced
1285,PknF,OE,Rv3920c,2.5708,2.22e-13,Induced
1286,PknF,OE,Rv2426c,2.5761,1.14e-21,Induced
1287,PknF,OE,Rv0086,2.5803,2.08e-28,Induced
1288,PknF,OE,Rv3156,2.5816,5.87e-19,Induced
1289,PknF,OE,Rv0934,2.5833,2.5e-24,Induced
1290,PknF,OE,Rv2953,2.5841,8.02e-22,Induced
1291,PknF,OE,Rv1318c,2.5888,1.06e-26,Induced
1292,PknF,OE,Rv0221,2.5983,1.5e-24,Induced
1293,PknF,OE,Rv1714,2.6425,1.1e-17,Induced
1294,PknF,OE,Rv0848,2.6467,2.99e-30,Induced
1295,PknF,OE,Rv0849,2.6479,5.2e-33,Induced
1296,PknF,OE,Rv2376c,2.6483,4.85e-26,Induced
1297,PknF,OE,Rv3150,2.6896,3.07e-31,Induced
1298,PknF,OE,Rv3032,2.6974,4.2e-20,Induced
1299,PknF,OE,Rv1697,2.7044,3.55e-22,Induced
1300,PknF,OE,Rv1884c,2.7089,6.77e-24,Induced
1301,PknF,OE,Rv0282,2.7128,1.42e-29,Induced
1302,PknF,OE,Rv2951c,2.7149,1.94e-20,Induced
1303,PknF,OE,Rv2058c,2.7454,5.23e-13,Induced
1304,PknF,OE,Rv3148,2.7503,1.23e-25,Induced
1305,PknF,OE,Rv2248,2.751,4.28e-28,Induced
1306,PknF,OE,Rv1319c,2.7566,2.64e-30,Induced
1307,PknF,OE,Rv3152,2.7599,1.06e-24,Induced
1308,PknF,OE,Rv0087,2.7664,6.72e-30,Induced
1309,PknF,OE,Rv1316c,2.7896,1.91e-23,Induced
1310,PknF,OE,Rv1258c,2.8,3.32e-25,Induced
1311,PknF,OE,Rv0693,2.8174,1.88e-39,Induced
1312,PknF,OE,Rv1438,2.8191,1.76e-13,Induced
1313,PknF,OE,Rv0185,2.83,1.18e-30,Induced
1314,PknF,OE,Rv2947c,2.8362,2.77e-12,Induced
1315,PknF,OE,Rv2382c,2.8379,1.63e-21,Induced
1316,PknF,OE,Rv1184c,2.8617,4.96e-16,Induced
1317,PknF,OE,Rv3485c,2.8619,4.99e-33,Induced
1318,PknF,OE,Rv0697,2.869,2.67e-19,Induced
1319,PknF,OE,Rv3862c,2.8817,6.09e-29,Induced
1320,PknF,OE,Rv3823c,2.8855,1.96e-24,Induced
1321,PknF,OE,Rv1195,2.8861,3.23e-32,Induced
1322,PknF,OE,Rv0705,2.9241,3.3e-26,Induced
1323,PknF,OE,Rv3861,2.9803,1.52e-35,Induced
1324,PknF,OE,Rv1612,2.9949,2.48e-22,Induced
1325,PknF,OE,Rv2056c,3.0047,1.38e-14,Induced
1326,PknF,OE,Rv0516c,3.0611,2.86e-32,Induced
1327,PknF,OE,Rv3824c,3.0636,5.68e-15,Induced
1328,PknF,OE,Rv1474c,3.093,6.7e-30,Induced
1329,PknF,OE,Rv1182,3.1059,2.42e-15,Induced
1330,PknF,OE,Rv0341,3.1191,4.24e-26,Induced
1331,PknF,OE,Rv2416c,3.2063,2.12e-31,Induced
1332,PknF,OE,Rv1613,3.2312,5.68e-17,Induced
1333,PknF,OE,Rv2950c,3.2328,4.94e-34,Induced
1334,PknF,OE,Rv2987c,3.2461,2.3e-37,Induced
1335,PknF,OE,Rv0706,3.2897,2e-38,Induced
1336,PknF,OE,Rv1185c,3.3069,1.64e-39,Induced
1337,PknF,OE,Rv2590,3.3884,4.52e-56,Induced
1338,PknF,OE,Rv0708,3.4758,5.67e-18,Induced
1339,PknF,OE,Rv2450c,3.4763,3.81e-12,Induced
1340,PknF,OE,Rv1183,3.5301,5.32e-37,Induced
1341,PknF,OE,Rv2985,3.5456,9.33e-36,Induced
1342,PknF,OE,Rv2386c,3.6065,1.97e-37,Induced
